Property Code,Price (€),Size (m²),Floor,Address,Province,Municipality,District,Neighborhood,Latitude,Longitude,Has Lift,Price by Area,Rooms,Bathrooms,Swimming Pool,Garden,Garage,URL
106429829,3800000,876,N/A,calle del Camino Alto,Madrid,La Moraleja,La Moraleja urbanización,N/A,40.5122694,-3.6185591,N/A,4338,5,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/106429829/
98113546,1695000,451,N/A,ENCINAS,Madrid,Ciudalcampo,N/A,N/A,40.6177675,-3.5954504,N/A,3758,5,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/98113546/
103952448,2950000,420,N/A,paseo de La Habana,Madrid,Madrid,Chamartín,Nueva España,40.4658795,-3.6787839,N/A,7024,5,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/103952448/
106812094,6200000,548,7,paseo de Eduardo Dato,Madrid,Madrid,Chamberí,Almagro,40.4330649,-3.6914949,true,11314,3,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/106812094/
105891810,1890000,385,N/A,avenida del Papa Negro,Madrid,Madrid,Hortaleza,Conde Orgaz-Piovera,40.4540501,-3.6284867,N/A,4909,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/105891810/
107205967,1295000,124,3,calle del Doctor Castelo,Madrid,Madrid,Retiro,Ibiza,40.4209119,-3.676731,true,10444,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107205967/
107218623,1098000,116,5,calle de Alcántara,Madrid,Madrid,Barrio de Salamanca,Lista,40.4310258,-3.6753667,true,9466,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107218623/
106611139,1335000,195,2,calle del Carril de los Caleros,Madrid,Madrid,Moncloa,Aravaca,40.4592433,-3.7974445,true,6846,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106611139/
96982668,2950000,800,N/A,calle de Zumárraga,Madrid,Madrid,Moncloa,El Plantío,40.4727078,-3.8145335,N/A,3688,6,6,N/A,N/A,N/A,https://www.idealista.com/inmueble/96982668/
105792251,3400000,355,5,calle de Zurbano,Madrid,Madrid,Chamberí,Almagro,40.4348221,-3.6939341,true,9577,6,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/105792251/
103610280,1310000,121,4,calle del General Díaz Porlier,Madrid,Madrid,Barrio de Salamanca,Goya,40.4276236,-3.6778716,true,10826,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/103610280/
107216024,1490000,139,4,calle d'Ausiàs Marc,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3898795,2.1735768,true,10719,2,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/107216024/
105075436,2550000,283,1,plaza Tetuan,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3943351,2.1735428,true,9011,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/105075436/
106227283,1350000,119,3,paseo de Gràcia,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3910545,2.1665829,true,11345,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106227283/
106061040,650000,79,6,calle de València,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3904229,2.1615408,true,8228,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106061040/
105569913,1800000,212,1,calle de Casp,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3941034,2.1775991,true,8491,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105569913/
107012920,1100000,146,8,calle de la Diputació,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3972199,2.1773309,true,7534,3,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/107012920/
107095799,2450000,253,1,calle de València,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3943404,2.1641808,true,9684,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/107095799/
107168202,2600000,347,1,calle de Trafalgar,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3871662,2.175319,true,7493,4,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/107168202/
106004460,2550000,283,1,plaza Tetuan,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3936269,2.1763717,true,9011,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/106004460/
105043094,1350000,119,3,paseo de Gràcia,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3933978,2.1647171,true,11345,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/105043094/
101689754,1545000,213,1,calle de Girona,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3901853,2.1779705,true,7254,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/101689754/
101941647,1200000,131,3,calle de Girona,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3962659,2.1687461,true,9160,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/101941647/
102772221,2100000,243,1,calle de Provença,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3942221,2.1573922,true,8642,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/102772221/
103739782,1560000,245,5,calle de Ferrán Agulló,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3972087,2.1385589,true,6367,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/103739782/
106464532,1112000,131,3,calle de Girona,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3973717,2.1677001,true,8489,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106464532/
102771649,1495000,267,1,calle de Calvet,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3958081,2.1432104,true,5599,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/102771649/
105435068,1800000,175,1,calle del Rosselló,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3933955,2.1600599,true,10286,2,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105435068/
105594551,2600000,356,1,calle de Trafalgar,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3900888,2.1768136,true,7303,4,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/105594551/
106978105,1890000,219,3,rambla de Catalunya,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3953421,2.1573685,true,8630,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106978105/
105473433,2450000,253,1,calle de València,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3944438,2.1636574,true,9684,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105473433/
106253657,2755000,266,2,Jardí de Tòquio,Barcelona,Barcelona,Les Corts,Pedralbes,41.3921783,2.1128464,true,10357,5,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/106253657/
106289361,1490000,199,6,calle d'Alfons XII,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3990728,2.1511613,false,7487,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106289361/
106921908,1537000,240,8,calle de Gandesa,Barcelona,Barcelona,Les Corts,Les Corts,41.3887972,2.129436,true,6404,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106921908/
106692731,760000,123,3,calle de València,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3976728,2.1665967,true,6179,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106692731/
106096552,760000,120,bj,calle de Manuel Llopis de Casades,Barcelona,Sitges,La Plana,N/A,41.2409294,1.8006088,true,6333,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106096552/
106139128,2900000,500,N/A,"calle d'Alcoi, 32",Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - La Bonanova,41.4073983,2.1295812,N/A,5800,7,7,N/A,N/A,N/A,https://www.idealista.com/inmueble/106139128/
102492657,1900000,184,14,calle de Vidal i de Valenciano,Barcelona,Barcelona,Sant Martí,El Poblenou,41.3976289,2.2083358,true,10326,2,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/102492657/
105814537,2200000,476,4,calle de Muntaner,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3999209,2.1433812,true,4622,6,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/105814537/
107165065,1490000,140,4,calle d'Ausiàs Marc,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3913108,2.1730094,true,10643,2,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/107165065/
106344575,1490000,199,7,calle d'Alfons XII,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.397797,2.1491459,true,7487,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106344575/
106483261,2500000,280,5,calle dels Valero,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.3953848,2.1380681,true,8929,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106483261/
106475860,730000,110,en,calle de la Mercè,Barcelona,Barcelona,Ciutat Vella,El Gòtic,41.3783494,2.1774028,true,6636,2,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106475860/
106980168,1275000,141,4,Barrio La Dreta de l'Eixample,Barcelona,Barcelona,Eixample,La Dreta de l'Eixample,41.3893516,2.1614667,true,9043,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106980168/
106961862,1375000,170,9,Barrio Diagonal Mar i el Front Marítim del Poblenou,Barcelona,Barcelona,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,41.4044015,2.2168484,true,8088,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106961862/
105370948,760000,154,en,calle del Consell de Cent,Barcelona,Barcelona,Eixample,L'Antiga Esquerra de l'Eixample,41.3855293,2.1576732,true,4935,5,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/105370948/
105822311,465000,59,4,calle de Viladomat,Barcelona,Barcelona,Eixample,Sant Antoni,41.376865,2.1626064,true,7881,2,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/105822311/
104676083,1175000,165,2,Eixample,Barcelona,Sant Cugat del Vallès,Eixample,N/A,41.4676179,2.0828977,true,7121,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/104676083/
105957071,1995000,405,N/A,Vallpineda-Santa Bárbara,Barcelona,Sitges,Vallpineda-Santa Bárbara,N/A,41.2506028,1.8028223,N/A,4926,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105957071/
104681481,2320000,305,N/A,Barrio Sarrià,Barcelona,Barcelona,Sarrià-Sant Gervasi,Sarrià,41.4062221,2.1196365,N/A,7607,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/104681481/
106895369,2550000,522,N/A,Barrio Vallvidrera - El Tibidabo i les Planes,Barcelona,Barcelona,Sarrià-Sant Gervasi,Vallvidrera - El Tibidabo i les Planes,41.4309295,2.0995509,N/A,4885,6,6,N/A,N/A,N/A,https://www.idealista.com/inmueble/106895369/
107019901,479000,156,6,avenida Eduardo Dato,Sevilla,Sevilla,Nervión,Nervión,37.3819322,-5.9711811,true,3071,2,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107019901/
106423201,649000,161,2,calle San Vicente,Sevilla,Sevilla,Centro,San Vicente,37.3948371,-5.9993797,true,4031,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106423201/
106469787,755000,126,4,Barrio Buhaira - Huerta del Rey,Sevilla,Sevilla,Nervión,Buhaira - Huerta del Rey,37.3846785,-5.9777903,true,5992,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106469787/
107234034,825000,164,2,Barrio Buhaira - Huerta del Rey,Sevilla,Sevilla,Nervión,Buhaira - Huerta del Rey,37.3865176,-5.9761276,true,5030,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107234034/
107158782,580000,194,N/A,calle Gallinato,Sevilla,Sevilla,Nervión,San Bernardo - Avenida de Cádiz,37.3838861,-5.9825151,N/A,2990,5,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107158782/
106700352,470000,106,3,Barrio Encarnación-Las Setas,Sevilla,Sevilla,Centro,Encarnación-Las Setas,37.391466,-5.9941578,true,4434,2,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106700352/
102397226,1200000,415,N/A,HOMBRE DE PIEDRA,Sevilla,Sevilla,Centro,Plaza de la Gavidia-San Lorenzo,37.3981237,-5.9943729,N/A,2892,12,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/102397226/
106187934,295000,170,N/A,Barrio Gran Plaza - Marqués de Pickman - Ciudad Jardín,Sevilla,Sevilla,Nervión,Gran Plaza - Marqués de Pickman - Ciudad Jardín,37.3821291,-5.9603437,N/A,1735,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106187934/
106856475,660000,345,N/A,calle Chipiona,Sevilla,Dos Hermanas,La Hacienda - Nueva Andalucía,N/A,37.2750713,-5.9396982,N/A,1913,6,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/106856475/
106024769,780000,128,3,calle Corral del Rey,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3890151,-5.9924595,true,6094,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106024769/
106160735,204900,95,1,calle José Rodríguez de la Borbolla Camoyán s/n,Sevilla,Dos Hermanas,Entrenúcleos,N/A,37.31901,-5.9289597,true,2157,2,2,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/106160735/
106160753,269900,131,1,calle José Rodríguez de la Borbolla Camoyán s/n,Sevilla,Dos Hermanas,Entrenúcleos,N/A,37.31901,-5.9289597,true,2060,4,2,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/106160753/
106160754,231900,110,1,calle José Rodríguez de la Borbolla Camoyán s/n,Sevilla,Dos Hermanas,Entrenúcleos,N/A,37.31901,-5.9289597,true,2108,3,2,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/106160754/
106865903,309000,135,N/A,calle Juan Gordillo Romero s/n,Sevilla,Bormujos,Centro,N/A,37.3669397,-6.0719682,N/A,2289,3,3,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/106865903/
104713946,329500,135,N/A,calle Juan Gordillo Romero s/n,Sevilla,Bormujos,Centro,N/A,37.3669397,-6.0719682,N/A,2441,3,3,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/104713946/
105962521,440000,104,5,calle Monte Carmelo,Sevilla,Sevilla,Los Remedios,Asunción - Adolfo Suárez,37.3717195,-5.9966626,true,4231,3,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/105962521/
106157620,1490900,475,N/A,Barrio Santa Cruz - Alfalfa,Sevilla,Sevilla,Centro,Santa Cruz - Alfalfa,37.3901322,-5.9884703,N/A,3139,4,5,N/A,N/A,N/A,https://www.idealista.com/inmueble/106157620/
106372741,619000,193,3,calle Castillo de Cortegana,Sevilla,Sevilla,La Palmera - Los Bermejales,Bami - Pineda,37.3573959,-5.9739603,true,3207,5,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106372741/
105346440,135000,100,1,avenida Alcaldesa María Regla Jiménez,Sevilla,Espartinas,Espartinas Pueblo,N/A,37.381421,-6.1277512,false,1350,3,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/105346440/
106751788,575000,124,2,calle Baños,Sevilla,Sevilla,Centro,San Vicente,37.3955376,-5.998634,true,4637,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106751788/
106667166,649000,179,6,avenida de Finlandia,Sevilla,Sevilla,La Palmera - Los Bermejales,Los Bermejales,37.3452372,-5.9763958,true,3626,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106667166/
105484407,229990,124,N/A,"camino Salteras, 3",Sevilla,Espartinas,Ramal de Espartinas,N/A,37.3839189,-6.1258867,N/A,1855,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105484407/
106520673,259900,161,N/A,"calle San Martín de Porres, 1",Sevilla,Espartinas,Espartinas Pueblo,N/A,37.3794281,-6.1292145,N/A,1614,3,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106520673/
106898412,795000,302,N/A,Barrio Los Bermejales,Sevilla,Sevilla,La Palmera - Los Bermejales,Los Bermejales,37.3473525,-5.9828228,N/A,2632,6,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106898412/
98574267,215000,152,1,calle Antonia Díaz,Sevilla,Dos Hermanas,Centro - Doña Mercedes,N/A,37.2839579,-5.9249963,N/A,1414,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/98574267/
107012961,200000,70,2,Barrio Alameda,Sevilla,Sevilla,Centro,Alameda,37.4004547,-5.9928855,false,2857,2,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/107012961/
106176366,370000,141,bj,calle Larra,Sevilla,Sevilla,Nervión,Nervión,37.3802298,-5.9717972,true,2624,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106176366/
107262926,268000,104,5,"avenida De Las Ciencias, 3",Sevilla,Sevilla,Sevilla este,Avenida de las Ciencias,37.391126,-5.9205856,true,2577,3,2,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/107262926/
107234103,191100,94,2,"avenida Manuel Clavero Arévalo, 1",Sevilla,Dos Hermanas,Entrenúcleos,N/A,37.318171,-5.9344021,true,2033,2,2,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/107234103/
106128077,153000,750,N/A,Urbanización santa isabel,Sevilla,Coria del Río,N/A,N/A,37.2526939,-6.0072286,N/A,204,1,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/106128077/
107262901,241000,108,bj,"avenida De Las Ciencias, 3",Sevilla,Sevilla,Sevilla este,Avenida de las Ciencias,37.391126,-5.9205856,true,2231,3,2,N/A,N/A,N/A,https://www.idealista.com/obra-nueva/107262901/
106933701,2150000,350,N/A,Barrio Reina Mercedes - Heliópolis,Sevilla,Sevilla,La Palmera - Los Bermejales,Reina Mercedes - Heliópolis,37.3589494,-5.9830189,N/A,6143,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106933701/
106993842,299000,61,1,Barrio Plaza de la Gavidia-San Lorenzo,Sevilla,Sevilla,Centro,Plaza de la Gavidia-San Lorenzo,37.4019487,-5.9957635,true,4902,1,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/106993842/
106022412,210000,100,N/A,"calle Tajo, 10",Sevilla,Dos Hermanas,Vista Azul - Consolación,N/A,37.2856115,-5.9144824,N/A,2100,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106022412/
100808674,444000,151,1,JOSE LUIS DE CASSO s/n,Sevilla,Sevilla,Nervión,Nervión,37.3846725,-5.9694116,true,2940,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/100808674/
106372708,128000,60,1,avenida del Guadalquivir,Sevilla,Dos Hermanas,Vista Azul - Consolación,N/A,37.2891265,-5.9163033,true,2133,2,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/106372708/
106156477,305000,159,N/A,avenida Portimao,Sevilla,Montequinto,Zona Avenida de Europa,N/A,37.3345175,-5.932855,N/A,1918,4,4,N/A,N/A,N/A,https://www.idealista.com/inmueble/106156477/
106186401,245000,118,1,calle Juan de Legazpi,Sevilla,Montequinto,Condequinto,N/A,37.34763,-5.9356658,true,2076,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106186401/
106388023,155000,101,2,calle Isaac Peral,Sevilla,Dos Hermanas,El Arenal - La Pólvora,N/A,37.2856273,-5.9272874,false,1535,3,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/106388023/
106199008,239000,81,bj,calle Imaginero Rafael Barbero,Sevilla,Sevilla,Nervión,Nervión,37.3878824,-5.9643532,true,2951,2,1,N/A,N/A,N/A,https://www.idealista.com/inmueble/106199008/
106373039,449000,120,2,calle de Jesús i Maria,València,València,Extramurs,La Petxina,39.4722698,-0.3884793,true,3742,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106373039/
107238608,780000,173,7,calle de Vicent Sancho Tello,València,València,El Pla del Real,Mestalla,39.4707363,-0.3571365,true,4509,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107238608/
105949641,560000,120,3,calle del Literat Azorín,València,València,L'Eixample,Russafa,39.4598021,-0.3775354,true,4667,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/105949641/
106620603,890000,149,5,calle de Guillem de Castro,València,València,Extramurs,La Roqueta,39.4688978,-0.3820632,true,5973,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106620603/
100890567,1050000,218,3,plaza de la Reina,València,València,Ciutat Vella,La Seu,39.474786,-0.3751408,true,4817,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/100890567/
106042435,560000,120,3,calle del Literat Azorín,València,València,L'Eixample,Russafa,39.4583452,-0.3779654,true,4667,3,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/106042435/
107114324,1600000,201,7,plaza de Sant Agustí,València,València,Ciutat Vella,Sant Francesc,39.4701572,-0.3799299,true,7960,4,2,N/A,N/A,N/A,https://www.idealista.com/inmueble/107114324/
106548122,690000,236,5,calle de Guillem de Castro,València,València,Extramurs,La Roqueta,39.4681173,-0.3811039,true,2924,5,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/106548122/
105437158,1300000,184,2,calle de Colón,València,València,Ciutat Vella,Sant Francesc,39.4685842,-0.3721975,true,7065,4,3,N/A,N/A,N/A,https://www.idealista.com/inmueble/105437158/
